step,output_true_class_prob,hidden_0_n0,hidden_0_n1,hidden_0_n2,hidden_0_n3,hidden_0_n4,hidden_0_n5,hidden_0_n6,hidden_0_n7,hidden_0_n8,hidden_0_n9,hidden_0_n10,hidden_0_n11,hidden_0_n12,hidden_0_n13,hidden_0_n14,hidden_0_n15,hidden_1_n0,hidden_1_n1,hidden_1_n2,hidden_1_n3,hidden_1_n4,hidden_1_n5,hidden_1_n6,hidden_1_n7
58,0.9062502980232239,-0.37448182702064514,-0.608306884765625,-0.4452316164970398,0.36892181634902954,-0.6932424902915955,0.827893853187561,0.5231849551200867,1.5602831840515137,0.21473339200019836,-0.5121479630470276,1.003575086593628,0.501608669757843,0.34068408608436584,-0.64581698179245,-0.5603499412536621,0.7423931956291199,1.7751078605651855,0.03426411747932434,1.0131436586380005,-0.3191153407096863,2.609814167022705,2.2513206005096436,-0.6913373470306396,0.6081632375717163
59,0.9549711346626282,-0.12551937997341156,-0.04502826929092407,-0.1630956381559372,0.2519383728504181,-0.3678271174430847,0.5427220463752747,0.392179399728775,0.878248393535614,0.037477731704711914,-0.37909936904907227,0.47306352853775024,0.5155700445175171,0.38398367166519165,-0.35010817646980286,-0.06546458601951599,1.0531389713287354,2.457839250564575,1.2108666896820068,0.862004816532135,0.5274021625518799,1.8367573022842407,1.8442050218582153,-0.9671777486801147,0.42306262254714966
60,0.992052435874939,0.3401486873626709,0.8623838424682617,0.3052172064781189,0.47806093096733093,0.15777410566806793,-0.18776901066303253,0.0002536773681640625,-0.1432265341281891,-0.5740357637405396,0.1066095232963562,-0.3296656012535095,0.6956093311309814,0.054718017578125,0.24000348150730133,0.6511862277984619,1.5714457035064697,3.7582590579986572,2.71917986869812,0.004471670836210251,2.0044662952423096,1.2056509256362915,0.7562198638916016,-1.119113802909851,-0.463485985994339
61,0.8923667669296265,-0.05559360980987549,-0.023548215627670288,-0.12105651199817657,0.504430890083313,-0.3189113438129425,0.4006500542163849,0.34697359800338745,0.9138701558113098,-0.15683013200759888,-0.1880405694246292,0.559046745300293,0.5775538682937622,0.12990257143974304,-0.30347535014152527,-0.10035508871078491,1.0237412452697754,2.3990142345428467,0.9096438884735107,0.3226543664932251,0.5097887516021729,2.0623974800109863,1.337184190750122,-0.738905668258667,0.0034513473510742188
62,0.9342644810676575,-0.41920700669288635,-0.7247947454452515,-0.47864991426467896,0.2396828532218933,-0.7213382720947266,1.0290764570236206,0.6983671188354492,1.680548071861267,0.3711779713630676,-0.6113409996032715,1.1767666339874268,0.40560200810432434,0.46889787912368774,-0.7890530228614807,-0.647681713104248,0.6257354021072388,1.4285626411437988,-0.06591469049453735,1.4114564657211304,-0.5962249636650085,2.4618403911590576,2.5967559814453125,-0.762911319732666,1.025473952293396
63,0.8500645160675049,0.046389371156692505,0.20257622003555298,-0.02667185664176941,0.6846989393234253,-0.2097507119178772,0.11238157749176025,0.14764077961444855,0.6933290362358093,-0.3716121315956116,-0.020191550254821777,0.327793151140213,0.6778005361557007,-0.0632447898387909,-0.09830507636070251,0.08393150568008423,1.1587672233581543,3.218245029449463,1.8842300176620483,0.3624116778373718,1.1103932857513428,1.7045539617538452,1.435239553451538,-1.0843709707260132,-0.017498135566711426
64,0.9815759658813477,-0.3102211356163025,-0.5361098051071167,-0.3890538215637207,0.4615986943244934,-0.627051591873169,0.7460458278656006,0.5083036422729492,1.5005571842193604,0.1133696436882019,-0.41058480739593506,0.9992070198059082,0.5210510492324829,0.23665425181388855,-0.6023414134979248,-0.5227855443954468,0.7542346715927124,2.2196428775787354,0.6051853895187378,1.3015491962432861,0.11489182710647583,2.4628467559814453,2.6663272380828857,-0.8423311710357666,0.7589607834815979
65,0.9553249478340149,0.40444353222846985,0.9617736339569092,0.33944371342658997,0.8450242280960083,0.20077581703662872,-0.511133074760437,-0.2278115153312683,-0.16810445487499237,-0.8502035140991211,0.3410748243331909,-0.40821123123168945,0.839850127696991,-0.3025979995727539,0.41732102632522583,0.706047534942627,1.617749571800232,4.001813888549805,2.776707410812378,-0.6155129075050354,2.2600514888763428,1.2219810485839844,0.14387884736061096,-0.9482174515724182,-1.0007331371307373
66,0.9496802687644958,-0.13468189537525177,-0.07192128896713257,-0.18781356513500214,0.40942102670669556,-0.3958292603492737,0.442146897315979,0.3041902482509613,0.9468770027160645,-0.04989790916442871,-0.3076954483985901,0.4901030659675598,0.5764439105987549,0.24069681763648987,-0.3083229959011078,-0.09927991032600403,1.042839527130127,2.931736946105957,1.6235544681549072,0.9864744544029236,0.8400087952613831,1.8419175148010254,2.140016555786133,-1.1009634733200073,0.4432719945907593
67,0.9571067094802856,-0.31074896454811096,-0.3655243515968323,-0.3419141173362732,0.012595146894454956,-0.5894196033477783,0.8710697889328003,0.5320254564285278,1.1726741790771484,0.3125140070915222,-0.6453471779823303,0.6637212038040161,0.4441673755645752,0.658692479133606,-0.5699833035469055,-0.3161027431488037,0.9528564214706421,2.248365879058838,0.8505131006240845,1.2886675596237183,0.28602322936058044,2.1469597816467285,2.438356399536133,-0.8635363578796387,0.673701286315918
68,0.932270884513855,0.24748453497886658,0.6134063005447388,0.19759175181388855,0.7174896001815796,0.07470694184303284,-0.12736697494983673,0.0913383737206459,0.26008111238479614,-0.5201432704925537,0.1486893892288208,0.0519823282957077,0.6677342653274536,-0.1527554988861084,0.10646998882293701,0.450900137424469,1.282357931137085,3.2575838565826416,2.160179615020752,-0.03172338008880615,1.480665683746338,1.3354430198669434,0.7886054515838623,-0.9793303608894348,-0.35754111409187317
69,0.8704487681388855,0.28821563720703125,0.5643832087516785,0.24706631898880005,0.5431289672851562,0.13318872451782227,0.11288011074066162,0.3650636374950409,0.2799330949783325,-0.4119178056716919,0.10617845505475998,0.2577205300331116,0.5360937714576721,-0.005378849804401398,-0.06045415997505188,0.3797314465045929,1.183126449584961,3.011876344680786,2.107091188430786,0.5214180946350098,1.3736824989318848,1.336560606956482,1.3965222835540771,-0.9725459218025208,0.10137210786342621
70,0.9776806831359863,0.29037201404571533,0.4919697046279907,0.2216569185256958,0.7616333961486816,0.10085582733154297,0.025329723954200745,0.31058475375175476,0.41137513518333435,-0.5399923324584961,0.22375044226646423,0.36965328454971313,0.6008676886558533,-0.2084934562444687,-0.051070526242256165,0.27905505895614624,1.13492751121521,2.985985279083252,1.937758207321167,0.3170228898525238,1.1990466117858887,1.4895840883255005,1.2175018787384033,-1.0235137939453125,0.034624576568603516
71,0.9583483934402466,0.3649086654186249,0.782890260219574,0.3078286945819855,0.7435757517814636,0.1853049397468567,-0.2375519573688507,0.05381882190704346,0.04672962427139282,-0.671686053276062,0.26408717036247253,-0.07334432005882263,0.7004027366638184,-0.20531515777111053,0.19719359278678894,0.552293062210083,1.400185227394104,3.676396369934082,2.649503231048584,0.011345893144607544,1.965402364730835,1.206937313079834,0.8749499320983887,-1.019680380821228,-0.4301866590976715
72,0.9276975393295288,0.007906019687652588,0.1006460189819336,-0.048149168491363525,0.48928236961364746,-0.22622328996658325,0.35186058282852173,0.35492613911628723,0.7782623171806335,-0.18511030077934265,-0.1469351351261139,0.486685574054718,0.5599960088729858,0.12497568130493164,-0.25542157888412476,0.011094868183135986,1.0543394088745117,2.816103935241699,1.65501868724823,0.8132858276367188,0.8740732073783875,1.6849087476730347,1.8388240337371826,-1.0548099279403687,0.3651096820831299
73,0.9062502980232239,-0.37448182702064514,-0.608306884765625,-0.4452316164970398,0.36892181634902954,-0.6932424902915955,0.827893853187561,0.5231849551200867,1.5602831840515137,0.21473339200019836,-0.5121479630470276,1.003575086593628,0.501608669757843,0.34068408608436584,-0.64581698179245,-0.5603499412536621,0.7423931956291199,1.7751078605651855,0.03426411747932434,1.0131436586380005,-0.3191153407096863,2.609814167022705,2.2513206005096436,-0.6913373470306396,0.6081632375717163
74,0.9549711346626282,-0.12551937997341156,-0.04502826929092407,-0.1630956381559372,0.2519383728504181,-0.3678271174430847,0.5427220463752747,0.392179399728775,0.878248393535614,0.037477731704711914,-0.37909936904907227,0.47306352853775024,0.5155700445175171,0.38398367166519165,-0.35010817646980286,-0.06546458601951599,1.0531389713287354,2.457839250564575,1.2108666896820068,0.862004816532135,0.5274021625518799,1.8367573022842407,1.8442050218582153,-0.9671777486801147,0.42306262254714966
75,0.992052435874939,0.3401486873626709,0.8623838424682617,0.3052172064781189,0.47806093096733093,0.15777410566806793,-0.18776901066303253,0.0002536773681640625,-0.1432265341281891,-0.5740357637405396,0.1066095232963562,-0.3296656012535095,0.6956093311309814,0.054718017578125,0.24000348150730133,0.6511862277984619,1.5714457035064697,3.7582590579986572,2.71917986869812,0.004471670836210251,2.0044662952423096,1.2056509256362915,0.7562198638916016,-1.119113802909851,-0.463485985994339
76,0.8923667669296265,-0.05559360980987549,-0.023548215627670288,-0.12105651199817657,0.504430890083313,-0.3189113438129425,0.4006500542163849,0.34697359800338745,0.9138701558113098,-0.15683013200759888,-0.1880405694246292,0.559046745300293,0.5775538682937622,0.12990257143974304,-0.30347535014152527,-0.10035508871078491,1.0237412452697754,2.3990142345428467,0.9096438884735107,0.3226543664932251,0.5097887516021729,2.0623974800109863,1.337184190750122,-0.738905668258667,0.0034513473510742188
77,0.9342644810676575,-0.41920700669288635,-0.7247947454452515,-0.47864991426467896,0.2396828532218933,-0.7213382720947266,1.0290764570236206,0.6983671188354492,1.680548071861267,0.3711779713630676,-0.6113409996032715,1.1767666339874268,0.40560200810432434,0.46889787912368774,-0.7890530228614807,-0.647681713104248,0.6257354021072388,1.4285626411437988,-0.06591469049453735,1.4114564657211304,-0.5962249636650085,2.4618403911590576,2.5967559814453125,-0.762911319732666,1.025473952293396
78,0.8500645160675049,0.046389371156692505,0.20257622003555298,-0.02667185664176941,0.6846989393234253,-0.2097507119178772,0.11238157749176025,0.14764077961444855,0.6933290362358093,-0.3716121315956116,-0.020191550254821777,0.327793151140213,0.6778005361557007,-0.0632447898387909,-0.09830507636070251,0.08393150568008423,1.1587672233581543,3.218245029449463,1.8842300176620483,0.3624116778373718,1.1103932857513428,1.7045539617538452,1.435239553451538,-1.0843709707260132,-0.017498135566711426
79,0.9815759658813477,-0.3102211356163025,-0.5361098051071167,-0.3890538215637207,0.4615986943244934,-0.627051591873169,0.7460458278656006,0.5083036422729492,1.5005571842193604,0.1133696436882019,-0.41058480739593506,0.9992070198059082,0.5210510492324829,0.23665425181388855,-0.6023414134979248,-0.5227855443954468,0.7542346715927124,2.2196428775787354,0.6051853895187378,1.3015491962432861,0.11489182710647583,2.4628467559814453,2.6663272380828857,-0.8423311710357666,0.7589607834815979
80,0.9553249478340149,0.40444353222846985,0.9617736339569092,0.33944371342658997,0.8450242280960083,0.20077581703662872,-0.511133074760437,-0.2278115153312683,-0.16810445487499237,-0.8502035140991211,0.3410748243331909,-0.40821123123168945,0.839850127696991,-0.3025979995727539,0.41732102632522583,0.706047534942627,1.617749571800232,4.001813888549805,2.776707410812378,-0.6155129075050354,2.2600514888763428,1.2219810485839844,0.14387884736061096,-0.9482174515724182,-1.0007331371307373
81,0.9496802687644958,-0.13468189537525177,-0.07192128896713257,-0.18781356513500214,0.40942102670669556,-0.3958292603492737,0.442146897315979,0.3041902482509613,0.9468770027160645,-0.04989790916442871,-0.3076954483985901,0.4901030659675598,0.5764439105987549,0.24069681763648987,-0.3083229959011078,-0.09927991032600403,1.042839527130127,2.931736946105957,1.6235544681549072,0.9864744544029236,0.8400087952613831,1.8419175148010254,2.140016555786133,-1.1009634733200073,0.4432719945907593
82,0.9571067094802856,-0.31074896454811096,-0.3655243515968323,-0.3419141173362732,0.012595146894454956,-0.5894196033477783,0.8710697889328003,0.5320254564285278,1.1726741790771484,0.3125140070915222,-0.6453471779823303,0.6637212038040161,0.4441673755645752,0.658692479133606,-0.5699833035469055,-0.3161027431488037,0.9528564214706421,2.248365879058838,0.8505131006240845,1.2886675596237183,0.28602322936058044,2.1469597816467285,2.438356399536133,-0.8635363578796387,0.673701286315918
83,0.932270884513855,0.24748453497886658,0.6134063005447388,0.19759175181388855,0.7174896001815796,0.07470694184303284,-0.12736697494983673,0.0913383737206459,0.26008111238479614,-0.5201432704925537,0.1486893892288208,0.0519823282957077,0.6677342653274536,-0.1527554988861084,0.10646998882293701,0.450900137424469,1.282357931137085,3.2575838565826416,2.160179615020752,-0.03172338008880615,1.480665683746338,1.3354430198669434,0.7886054515838623,-0.9793303608894348,-0.35754111409187317
84,0.8704487681388855,0.28821563720703125,0.5643832087516785,0.24706631898880005,0.5431289672851562,0.13318872451782227,0.11288011074066162,0.3650636374950409,0.2799330949783325,-0.4119178056716919,0.10617845505475998,0.2577205300331116,0.5360937714576721,-0.005378849804401398,-0.06045415997505188,0.3797314465045929,1.183126449584961,3.011876344680786,2.107091188430786,0.5214180946350098,1.3736824989318848,1.336560606956482,1.3965222835540771,-0.9725459218025208,0.10137210786342621
85,0.9776806831359863,0.29037201404571533,0.4919697046279907,0.2216569185256958,0.7616333961486816,0.10085582733154297,0.025329723954200745,0.31058475375175476,0.41137513518333435,-0.5399923324584961,0.22375044226646423,0.36965328454971313,0.6008676886558533,-0.2084934562444687,-0.051070526242256165,0.27905505895614624,1.13492751121521,2.985985279083252,1.937758207321167,0.3170228898525238,1.1990466117858887,1.4895840883255005,1.2175018787384033,-1.0235137939453125,0.034624576568603516
86,0.9583483934402466,0.3649086654186249,0.782890260219574,0.3078286945819855,0.7435757517814636,0.1853049397468567,-0.2375519573688507,0.05381882190704346,0.04672962427139282,-0.671686053276062,0.26408717036247253,-0.07334432005882263,0.7004027366638184,-0.20531515777111053,0.19719359278678894,0.552293062210083,1.400185227394104,3.676396369934082,2.649503231048584,0.011345893144607544,1.965402364730835,1.206937313079834,0.8749499320983887,-1.019680380821228,-0.4301866590976715
87,0.9276975393295288,0.007906019687652588,0.1006460189819336,-0.048149168491363525,0.48928236961364746,-0.22622328996658325,0.35186058282852173,0.35492613911628723,0.7782623171806335,-0.18511030077934265,-0.1469351351261139,0.486685574054718,0.5599960088729858,0.12497568130493164,-0.25542157888412476,0.011094868183135986,1.0543394088745117,2.816103935241699,1.65501868724823,0.8132858276367188,0.8740732073783875,1.6849087476730347,1.8388240337371826,-1.0548099279403687,0.3651096820831299
88,0.9062502980232239,-0.37448182702064514,-0.608306884765625,-0.4452316164970398,0.36892181634902954,-0.6932424902915955,0.827893853187561,0.5231849551200867,1.5602831840515137,0.21473339200019836,-0.5121479630470276,1.003575086593628,0.501608669757843,0.34068408608436584,-0.64581698179245,-0.5603499412536621,0.7423931956291199,1.7751078605651855,0.03426411747932434,1.0131436586380005,-0.3191153407096863,2.609814167022705,2.2513206005096436,-0.6913373470306396,0.6081632375717163
89,0.9549711346626282,-0.12551937997341156,-0.04502826929092407,-0.1630956381559372,0.2519383728504181,-0.3678271174430847,0.5427220463752747,0.392179399728775,0.878248393535614,0.037477731704711914,-0.37909936904907227,0.47306352853775024,0.5155700445175171,0.38398367166519165,-0.35010817646980286,-0.06546458601951599,1.0531389713287354,2.457839250564575,1.2108666896820068,0.862004816532135,0.5274021625518799,1.8367573022842407,1.8442050218582153,-0.9671777486801147,0.42306262254714966
90,0.992052435874939,0.3401486873626709,0.8623838424682617,0.3052172064781189,0.47806093096733093,0.15777410566806793,-0.18776901066303253,0.0002536773681640625,-0.1432265341281891,-0.5740357637405396,0.1066095232963562,-0.3296656012535095,0.6956093311309814,0.054718017578125,0.24000348150730133,0.6511862277984619,1.5714457035064697,3.7582590579986572,2.71917986869812,0.004471670836210251,2.0044662952423096,1.2056509256362915,0.7562198638916016,-1.119113802909851,-0.463485985994339
91,0.8923667669296265,-0.05559360980987549,-0.023548215627670288,-0.12105651199817657,0.504430890083313,-0.3189113438129425,0.4006500542163849,0.34697359800338745,0.9138701558113098,-0.15683013200759888,-0.1880405694246292,0.559046745300293,0.5775538682937622,0.12990257143974304,-0.30347535014152527,-0.10035508871078491,1.0237412452697754,2.3990142345428467,0.9096438884735107,0.3226543664932251,0.5097887516021729,2.0623974800109863,1.337184190750122,-0.738905668258667,0.0034513473510742188
